outcome,h,beta,se
hicp_yoy,0,0.348348654442617,0.311102281450098
hicp_yoy,1,0.371797132040867,0.307542507301538
hicp_yoy,2,0.395022544279557,0.302053476142253
hicp_yoy,3,0.401565223793316,0.298611280028843
hicp_yoy,4,0.363706850617908,0.291314390713272
hicp_yoy,5,0.369853979530307,0.290496923404782
hicp_yoy,6,0.350979703932623,0.288491176591312
hicp_yoy,7,0.430709998806379,0.281493847242333
hicp_yoy,8,0.458423982292916,0.273827678512346
hicp_yoy,9,0.494605925324423,0.273089139922316
hicp_yoy,10,0.496143431264555,0.265242460762096
hicp_yoy,11,0.460855057362293,0.265456082057116
hicp_yoy,12,0.434336929288271,0.262746590253951
hicp_yoy,13,0.421843609242784,0.270762886919407
hicp_yoy,14,0.368490469284781,0.273411261148906
hicp_yoy,15,0.329399151144452,0.269681187065163
hicp_yoy,16,0.294658705077453,0.263585446788565
hicp_yoy,17,0.203054457270944,0.257998863397559
hicp_yoy,18,0.140774397905001,0.249837621226666
unemp_rate,0,1.7305116206634,0.304759576822719
unemp_rate,1,1.64926303957393,0.304484937002762
unemp_rate,2,1.56058803942508,0.302129556639799
unemp_rate,3,1.4794827517877,0.294525829093106
unemp_rate,4,1.4151633533408,0.287308657609262
unemp_rate,5,1.35836728072598,0.282680560508548
unemp_rate,6,1.29714514997558,0.273350977997428
unemp_rate,7,1.26016375181051,0.265035712836896
unemp_rate,8,1.23077319401149,0.259128162914684
unemp_rate,9,1.18423134138625,0.253727897663008
unemp_rate,10,1.17764562020695,0.247488735866051
unemp_rate,11,1.16426532099526,0.234011050317725
unemp_rate,12,1.14215832985808,0.222938090410845
unemp_rate,13,1.13649780601362,0.212803075025588
unemp_rate,14,1.15117783596201,0.199249332950642
unemp_rate,15,1.16922453424864,0.188179773115971
unemp_rate,16,1.16852947987179,0.179038609831496
unemp_rate,17,1.18816176887815,0.168346046805371
unemp_rate,18,1.20560116731959,0.160993666567121
hicp,0,2.05295640533813,0.269702518777679
hicp,1,2.07894569817828,0.276119661140537
hicp,2,2.09375325645915,0.273686874649954
hicp,3,2.09298780527247,0.2736229703234
hicp,4,2.07846823060465,0.271243027695686
hicp,5,2.12801635619902,0.279001397903004
hicp,6,2.14930439592254,0.279640763355157
hicp,7,2.23840452147449,0.291186198125917
hicp,8,2.27884143646093,0.289500881488244
hicp,9,2.32439242880797,0.29239240368194
hicp,10,2.33553440418894,0.286178654223728
hicp,11,2.32788700567566,0.281361375461548
hicp,12,2.3595720095221,0.276430660788524
hicp,13,2.3654360714605,0.279902174644288
hicp,14,2.33458342236135,0.275109945438388
hicp,15,2.30002909831341,0.27565773298214
hicp,16,2.28092778338315,0.277848097926948
hicp,17,2.24467142118878,0.284428299548428
hicp,18,2.23756130041825,0.286795249403629
imports_world_meur,0,2746.20874467949,186.895486477216
imports_world_meur,1,2746.36570481175,178.708937069176
imports_world_meur,2,2763.9472435188,172.701661181327
imports_world_meur,3,2775.91820633033,165.846051400914
imports_world_meur,4,2803.01769088309,163.010681943429
imports_world_meur,5,2824.66166702044,159.471737995457
imports_world_meur,6,2835.50588259958,156.286259966794
imports_world_meur,7,2840.05329872101,156.413735151702
imports_world_meur,8,2847.50170106606,155.366532340701
imports_world_meur,9,2876.34852346909,158.224783646433
imports_world_meur,10,2911.44784913552,161.53304279306
imports_world_meur,11,2923.28625173589,161.850981269062
imports_world_meur,12,2911.27682125427,159.137714829355
imports_world_meur,13,2911.23934132255,158.615114929882
imports_world_meur,14,2908.86798835653,156.487827053575
imports_world_meur,15,2885.20071872559,156.688043486694
imports_world_meur,16,2886.19999115638,155.066195455558
imports_world_meur,17,2869.55675516524,156.164515784527
imports_world_meur,18,2868.76720093545,156.216164613636
exports_world_meur,0,3597.44032435816,216.523015679712
exports_world_meur,1,3600.99141360321,207.512134636099
exports_world_meur,2,3610.07756919582,197.619739224391
exports_world_meur,3,3605.53057240405,188.558986299
exports_world_meur,4,3601.50245482701,183.189315416626
exports_world_meur,5,3628.91660186572,181.74599678632
exports_world_meur,6,3624.27136178281,175.347573134631
exports_world_meur,7,3610.74218980381,175.897309579319
exports_world_meur,8,3601.06935882773,176.288570019212
exports_world_meur,9,3630.13097417347,178.416300633704
exports_world_meur,10,3670.04870874794,182.6047511523
exports_world_meur,11,3672.17000397522,182.192423645721
exports_world_meur,12,3688.00279141014,179.23304623441
exports_world_meur,13,3681.95115924491,179.057104781059
exports_world_meur,14,3686.20045917524,175.823850269027
exports_world_meur,15,3685.99588937105,177.055841126398
exports_world_meur,16,3683.77561561545,176.827061641086
exports_world_meur,17,3667.82634100802,175.053712140173
exports_world_meur,18,3655.78435473997,174.730458627473
log_imp,0,-0.0665685291422028,0.012257012033791
log_imp,1,-0.0672615983420267,0.012935225745198
log_imp,2,-0.0629757560678553,0.0133581459227994
log_imp,3,-0.0563789155454036,0.0133450470971484
log_imp,4,-0.0507964098220558,0.012692255247161
log_imp,5,-0.0473953405007855,0.0122964549862398
log_imp,6,-0.0435768781247077,0.0125090019209397
log_imp,7,-0.0417953842720061,0.0120181981049617
log_imp,8,-0.0390747776568359,0.0115345735572781
log_imp,9,-0.034609003258794,0.0111116605578918
log_imp,10,-0.0291329502841772,0.0108845539059945
log_imp,11,-0.0246086308705699,0.0103617864556711
log_imp,12,-0.0211565561976981,0.0102006462009049
log_imp,13,-0.0182407253846233,0.0103907032872501
log_imp,14,-0.015098844318112,0.0104283454390154
log_imp,15,-0.0149425044009665,0.0101317601489536
log_imp,16,-0.0107976275795087,0.00999754092157648
log_imp,17,-0.00935108966604818,0.0101413669603355
log_imp,18,-0.00471144546527896,0.00958850124071427
log_exp,0,-0.0626795796264412,0.0121549052233588
log_exp,1,-0.0649160108762072,0.0127960092646323
log_exp,2,-0.0600321210316512,0.0130300206668715
log_exp,3,-0.0550339165672112,0.0129216052510615
log_exp,4,-0.0525107622195192,0.0132379231997472
log_exp,5,-0.0474165166462572,0.0130308712098088
log_exp,6,-0.0440965850457038,0.012803196660132
log_exp,7,-0.0436230167292008,0.012421664474783
log_exp,8,-0.0415038504416736,0.0123276300318665
log_exp,9,-0.0360113340428436,0.0122606327266561
log_exp,10,-0.0290117653898332,0.0120692432439493
log_exp,11,-0.0255337456874451,0.011785391158432
log_exp,12,-0.0184260662005622,0.0117893452039825
log_exp,13,-0.0145770752961298,0.0116371515259761
log_exp,14,-0.0109290763208637,0.0113531218963654
log_exp,15,-0.00656106213634964,0.0110539078781875
log_exp,16,-0.00251330242856078,0.0109439002199536
log_exp,17,7.99834228046789e-05,0.0105840641406349
log_exp,18,0.00244424202785264,0.0103759289613744
